"Gene" "LoFtool" "RVIS" "%RVIS" "RVISExAC" "%RVISExAC" "RVISExACv2" "%RVISExACv2" "SynZ" "MisZ" "pLI"
"CASP10" 0.454 -0.09 46.99 -0.057085608 46.31648696 0.265836753 61.94525904 -1.00057387039149 -0.797762472980308 8.53789597425533e-12
"CFLAR" 0.166 0.17 65.76 -0.093786964 43.82868502 -0.686413344 21.35874878 0.196743512550173 2.11089589057331 0.999719869699545
"TFPI" 0.754 0.33 73.27 0.269694467 67.51400518 0.007922309 49.79472141 0.0634836735908689 1.07588624682014 0.0253229555895134
"NDUFAF7" NA NA NA -0.113472081 42.24444311 0.081002295 53.45063539 -0.510096292644744 -1.6944988543709 1.17734908571096e-11
"RBM5" 0.287 -1.11 6.72 -1.334091894 5.096078549 -0.991752371 13.38220919 1.14938913560333 4.28789795342576 0.999999469802352
"MTMR7" 0.171 -1.13 6.56 -1.739228078 2.764893681 -1.118320934 10.80156403 -1.90870771077747 -2.40642693609308 1.63743798338027e-09
"SLC7A2" 0.0207 0.41 76.54 -0.669107475 16.27010421 -0.792386563 18.30889541 -1.33914024964898 -2.37871094924842 1.1726426517571e-08
"ARF5" 0.285 0.01 54.63 -0.18547512 37.75073791 -0.217999927 39.30596285 0.85314404785895 2.57164309547798 0.234001126600504
"SARM1" NA NA NA NA NA 0.388197332 67.1945259 2.07195317296429 2.65144324795945 9.18622777225885e-09
"POLDIP2" NA NA NA NA NA -0.584552733 24.55522972 -0.193397992542827 1.66134380706192 0.0492454565267766
"PLXND1" 0.16 -1.31 4.88 1.231566181 94.06059876 2.205094299 97.75171065 2.04655425126092 4.48122686785259 0.999989724505468
"AK2" 0.555 0.22 68.13 1.152434038 93.10884886 0.855557739 83.08895406 -0.308725373524516 0.129246369982301 0.00556558560437493
"CD38" 0.89 -0.6 17.91 0.624120992 82.74802723 0.465019314 70.4398827 1.95553171841704 0.298136304186291 7.65670798329562e-05
"FKBP4" 0.191 0.04 57.15 0.391528305 73.7003795 0.236871019 60.66471163 -0.496430330664065 1.07267048940665 0.927473130653813
"KDM1A" 0.337 -0.43 25.15 -1.13381549 7.216432745 -1.293369157 8.34799609 0.947449431194655 5.55572106436225 0.991027964686515
"RBM6" 0.121 -0.55 20 -0.993396452 9.083790133 -1.109945383 10.98729228 0.876070242224476 1.35336512739515 0.999999963583324
"CAMKK1" 0.729 -0.58 18.78 -0.963071973 9.583760014 -0.816442655 17.72238514 0.586418114300146 1.0952950940781 0.0632390899315781
"RECQL" 0.99 -0.97 8.9 -0.073642932 45.30449973 0.389802498 67.29227761 -0.186216610796918 -0.69642232353503 7.14017324493182e-13
"VPS50" NA NA NA NA NA -1.338558188 7.80058651 NA NA NA
"HSPB6" NA NA NA NA NA NA NA 1.52969117290991 0.360410286020449 0.391248531059943
"ARHGAP33" 0.678 -1.46 3.86 -1.364618231 4.849105476 -0.768777581 18.9540567 -0.71962184821011 1.67211992953564 0.212248410336133
"NDUFAB1" 0.136 -0.21 38.28 0.044767018 53.53894344 -0.238139865 38.4457478 1.2581176749872 0.445182277254981 0.755255332218331
"PDK4" 0.801 0.04 56.92 -0.037400113 47.62966086 -0.068095153 46.16813294 -0.210728444057744 -0.53889833394417 4.55196606471685e-06
"SLC22A16" 0.671 0.47 78.83 1.190537968 93.63893741 1.329900403 91.80840665 -1.43439529369748 -2.44504964638958 2.08702152845569e-22
"ZMYND10" 0.443 0.37 75.43 0.576628807 81.19390398 0.205322882 59.30596285 0.502471027442721 -0.0172651527742064 3.60239883453688e-07
"ABCB5" 0.0314 4.18 99.7 3.233611953 99.55424372 3.617864265 99.46236559 -1.62126243425807 -4.65636261757161 1.16623512959537e-23
"ARX" 0 NA NA NA NA NA NA 2.94288263738637 3.36314216426685 0.75306908332634
"SLC25A13" 0.637 -1.16 6.17 -1.146786977 7.029697006 -1.027849113 12.64907136 -0.364497615299565 -0.448385194140681 1.9404630788689e-15
"ST7" 0.449 -0.25 35.99 -0.214218858 36.11228239 -0.4582628 29.13978495 0.1743452909791 3.15839820669157 0.998051871776655
"CDC27" 0.684 -0.12 44.89 2.650270861 99.24100958 -0.454073586 29.31573803 0.666284952602618 3.28628970710717 0.486673202422918
