,GeneSymbol,LevelOfConfidence
349,SCN9A,HighEvidence
350,SEPT9,HighEvidence
351,SH3TC2,HighEvidence
352,SIGMAR1,HighEvidence
353,SLC12A6,HighEvidence
354,SPTLC1,HighEvidence
355,SPTLC2,HighEvidence
356,TFG,HighEvidence
357,TTR,HighEvidence
358,TUBB3,HighEvidence
359,TYMP,HighEvidence
360,VCP,HighEvidence
361,WNK1,HighEvidence
362,YARS,HighEvidence
363,B3GALNT2,HighEvidence
364,B4GAT1,HighEvidence
365,CHKB,HighEvidence
366,DAG1,HighEvidence
367,DMD,HighEvidence
368,DOLK,HighEvidence
369,DPM2,HighEvidence
370,FKRP,HighEvidence
371,FKTN,HighEvidence
372,INPP5K,HighEvidence
373,ISPD,HighEvidence
374,ITGA7,HighEvidence
375,LAMA2,HighEvidence
376,LARGE,HighEvidence
377,POMGNT1,HighEvidence
378,POMGNT2,HighEvidence
379,POMK,HighEvidence
380,POMT1,HighEvidence
381,POMT2,HighEvidence
382,TMEM5,HighEvidence
383,APP,HighEvidence
384,CSF1R,HighEvidence
385,GRN,HighEvidence
386,ITM2B,HighEvidence
387,MAPT,HighEvidence
388,NOTCH3,HighEvidence
389,PSEN1,HighEvidence
390,PSEN2,HighEvidence
391,TARDBP,HighEvidence
392,TBK1,HighEvidence
393,TYROBP,HighEvidence
394,UBQLN2,HighEvidence
395,ACAD9,HighEvidence
396,ACADM,HighEvidence
397,ACADVL,HighEvidence
398,AGL,HighEvidence
399,ALDOA,HighEvidence
400,ANO5,HighEvidence
401,CAV3,HighEvidence
402,CPT2,HighEvidence
403,DYSF,HighEvidence
404,ENO3,HighEvidence
405,ETFA,HighEvidence
406,ETFB,HighEvidence
407,ETFDH,HighEvidence
408,GAA,HighEvidence
409,GBE1,HighEvidence
410,GYG1,HighEvidence
411,GYS1,HighEvidence
412,HADHA,HighEvidence
413,HADHB,HighEvidence
414,ISCU,HighEvidence
415,LAMP2,HighEvidence
416,LDHA,HighEvidence
417,LPIN1,HighEvidence
418,PFKM,HighEvidence
419,PGAM2,HighEvidence
420,PGK1,HighEvidence
421,PGM1,HighEvidence
422,PHKA1,HighEvidence
423,PHKB,HighEvidence
424,POLG2,HighEvidence
425,PRKAG2,HighEvidence
426,PYGM,HighEvidence
427,RBCK1,HighEvidence
428,RRM2B,HighEvidence
429,SLC22A5,HighEvidence
430,SUCLA2,HighEvidence
431,TK2,HighEvidence
432,ADAMTS10,HighEvidence
433,ADGRG6,HighEvidence
434,ANTXR2,HighEvidence
435,ASXL1,HighEvidence
436,CHST14,HighEvidence
437,CNTNAP1,HighEvidence
438,CRLF1,HighEvidence
439,ECEL1,HighEvidence
440,ERCC6,HighEvidence
441,ERCC8,HighEvidence
442,FAM20C,HighEvidence
443,FBN2,HighEvidence
444,FGFR2,HighEvidence
445,FGFR3,HighEvidence
446,FKBP10,HighEvidence
447,FLNB,HighEvidence
448,GBA,HighEvidence
449,GLDN,HighEvidence
450,GLE1,HighEvidence
451,HSPG2,HighEvidence
452,IRF6,HighEvidence
453,KAT6B,HighEvidence
454,KLHL7,HighEvidence
455,MYBPC1,HighEvidence
456,NALCN,HighEvidence
457,PEX1,HighEvidence
458,PEX10,HighEvidence
459,PEX11B,HighEvidence
460,PEX12,HighEvidence
461,PEX13,HighEvidence
462,PEX14,HighEvidence
463,PEX19,HighEvidence
464,PEX2,HighEvidence
465,PEX26,HighEvidence
466,PEX3,HighEvidence
467,PEX5,HighEvidence
468,PEX6,HighEvidence
469,PIEZO2,HighEvidence
470,PLOD1,HighEvidence
471,PLOD2,HighEvidence
472,POR,HighEvidence
473,PRG4,HighEvidence
474,RIPK4,HighEvidence
475,SCARF2,HighEvidence
476,SKI,HighEvidence
477,SMAD3,HighEvidence
478,SMAD4,HighEvidence
479,TGFB2,HighEvidence
480,TGFB3,HighEvidence
481,TGFBR1,HighEvidence
482,TGFBR2,HighEvidence
483,TNNI2,HighEvidence
484,TNNT3,HighEvidence
485,VIPAS39,HighEvidence
486,VPS33B,HighEvidence
487,ZC4H2,HighEvidence
488,ZMPSTE24,HighEvidence
489,BAG3,HighEvidence
490,CNBP,HighEvidence
491,CRYAB,HighEvidence
492,DES,HighEvidence
493,DNAJB6,HighEvidence
494,FHL1,HighEvidence
495,FLNC,HighEvidence
496,GNE,HighEvidence
497,LDB3,HighEvidence
498,MATR3,HighEvidence
499,MYOT,HighEvidence
500,SQSTM1,HighEvidence
501,TIA1,HighEvidence
502,CAPN3,HighEvidence
503,EMD,HighEvidence
504,SGCA,HighEvidence
505,SGCB,HighEvidence
506,SGCD,HighEvidence
507,SGCG,HighEvidence
508,TCAP,HighEvidence
509,TRIM32,HighEvidence
510,ADCY5,HighEvidence
511,ATP1A2,HighEvidence
512,CACNB4,HighEvidence
513,GLRA1,HighEvidence
514,GLRB,HighEvidence
515,SLC6A5,HighEvidence
516,ATP2A1,HighEvidence
517,CLCN1,HighEvidence
518,KCNJ2,HighEvidence
519,MT-ATP8,HighEvidence
520,ANG,HighEvidence
521,DCTN1,HighEvidence
522,FUS,HighEvidence
523,HNRNPA1,HighEvidence
524,OPTN,HighEvidence
525,PFN1,HighEvidence
526,SOD1,HighEvidence
527,VAPB,HighEvidence
528,GLI2,HighEvidence
529,PTCH1,HighEvidence
530,TGIF1,HighEvidence
531,ADGRG1,HighEvidence
532,CLP1,HighEvidence
533,DKC1,HighEvidence
534,PTF1A,HighEvidence
535,RELN,HighEvidence
536,TINF2,HighEvidence
537,TSEN34,HighEvidence
538,TUBA1A,HighEvidence
539,TUBA8,HighEvidence
540,TUBB2B,HighEvidence
541,ACTB,HighEvidence
542,ACTG1,HighEvidence
543,AKT3,HighEvidence
544,ARFGEF2,HighEvidence
545,ASPM,HighEvidence
546,CCND2,HighEvidence
547,CSNK2A1,HighEvidence
548,DCX,HighEvidence
549,FLNA,HighEvidence
550,GPSM2,HighEvidence
551,KATNB1,HighEvidence
552,KIF2A,HighEvidence
553,KIF5C,HighEvidence
